Unnamed: 0,Morphology_R,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,lexome1,lexome2,form,participant,frequency,origin,predicted,pred_correct,simplify_delete_obstruent.1,simplify_delete_lateral.1,nasalize.1,lateralize.1,tensify.1,neural_prediction,neural_correct_wrong
891,kalk-ta,kakda,lk-t,kakda,0.0,1.0,,,1.0,kalk,ta,kakda,565631,low,train,kalda,no,1.0,0.0,,0.0,1.0,kalda,no
892,kalk-a,kalka,lk-a,kalka,0.0,0.0,,,0.0,kalk,a,kalka,565631,low,train,kalka,yes,0.0,0.0,,0.0,0.0,kalga,no
893,kvP-ta,kvpda,P-t,kvpda,,,,,1.0,kvP,ta,kvpda,565631,nonce,train,kvpda,yes,,,,,1.0,kvpda,yes
894,kvP-v,kvPv,P-v,kvPv,,,,,0.0,kvP,v,kvPv,565631,nonce,train,kvPv,yes,,,,,0.0,kvpdv,no
895,kvP-na,kvmna,P-n,kvmna,,,1.0,,,kvP,na,kvmna,565631,nonce,train,kvmna,yes,,,1.0,,,kvpna,no
896,kjvlp-v,kyvlpv,lp-v,kyvlpv,0.0,0.0,,,0.0,kjvlp,v,kyvlpv,565631,nonce,train,kyvlpv,yes,1.0,0.0,,0.0,0.0,kilvpv,no
897,kjvlp-ta,kyvpda,lp-t,kyvpda,0.0,1.0,,,1.0,kjvlp,ta,kyvpda,565631,nonce,train,kyvlpda,no,1.0,0.0,,0.0,1.0,kilvpda,no
898,kjvlp-na,kyvmna,lp-n,kyvmna,0.0,1.0,1.0,0.0,,kjvlp,na,kyvmna,565631,nonce,train,kyvlmna,no,1.0,0.0,1.0,0.0,,kvlpna,no
899,kulk-ta,kukda,lk-t,kukda,0.0,1.0,,,1.0,kulk,ta,kukda,565631,high,train,kulda,no,1.0,0.0,,0.0,1.0,kulda,no
900,kulk-na,kuNna,lk-n,kuNna,0.0,1.0,1.0,0.0,,kulk,na,kuNna,565631,high,train,kuNna,yes,1.0,1.0,1.0,0.0,,kulna,no
901,kulk-v,kulkv,lk-v,kulkv,0.0,0.0,,,0.0,kulk,v,kulkv,565631,high,train,kulkv,yes,0.0,0.0,,0.0,0.0,kulkv,yes
902,kxlk-ta,kxkda,lk-t,kxkda,0.0,1.0,,,1.0,kxlk,ta,kxkda,565631,low,train,kxlkda,no,0.0,0.0,,0.0,1.0,kxlda,no
903,kxlk-v,kxlkv,lk-v,kxlkv,0.0,0.0,,,0.0,kxlk,v,kxlkv,565631,low,train,kxlkv,yes,0.0,0.0,,0.0,0.0,kxlkv,yes
904,kxlk-na,kxNna,lk-n,kxNna,0.0,1.0,1.0,0.0,,kxlk,na,kxNna,565631,low,train,kxNna,yes,1.0,1.0,1.0,0.0,,kxNna,yes
905,kxlP-v,kxlPv,lP-v,kxlPv,0.0,0.0,,,0.0,kxlP,v,kxlPv,565631,nonce,train,kxlPv,yes,0.0,0.0,,0.0,0.0,kxlpv,no
906,kxlP-ta,kxpda,lP-t,kxpda,0.0,1.0,,,1.0,kxlP,ta,kxpda,565631,nonce,train,kxlPda,no,0.0,0.0,,0.0,1.0,kxlda,no
907,kxlP-na,kxmna,lP-n,kxmna,0.0,1.0,1.0,0.0,,kxlP,na,kxmna,565631,nonce,train,kxlmna,no,1.0,0.0,1.0,0.0,,kxlpna,no
908,nalk-a,nalka,lk-a,nalka,0.0,0.0,,,0.0,nalk,a,nalka,565631,high,train,nalka,yes,0.0,0.0,,0.0,0.0,nalga,no
909,nalk-na,naNna,lk-n,naNna,0.0,1.0,1.0,0.0,,nalk,na,naNna,565631,high,train,naNna,yes,1.0,1.0,1.0,0.0,,nalnka,no
910,nalk-ta,nakda,lk-t,nakda,0.0,1.0,,,1.0,nalk,ta,nakda,565631,high,train,nalkda,no,0.0,0.0,,0.0,1.0,nalda,no
911,nalp-a,nalpa,lp-a,nalpa,0.0,0.0,,,0.0,nalp,a,nalpa,565631,nonce,train,nalpa,yes,0.0,0.0,,0.0,0.0,nalpa,yes
912,nalp-ta,napda,lp-t,napda,0.0,1.0,,,1.0,nalp,ta,napda,565631,nonce,train,nalpda,no,0.0,0.0,,0.0,1.0,nalda,no
913,nalp-na,namna,lp-n,namna,0.0,1.0,1.0,0.0,,nalp,na,namna,565631,nonce,train,nalmna,no,1.0,0.0,1.0,0.0,,nalpna,no
914,neT-ta,netda,T-t,netda,,,,,1.0,neT,ta,netda,565631,nonce,train,netda,yes,,,,,1.0,netda,yes
915,neT-na,nenna,T-n,nenna,,,1.0,,,neT,na,nenna,565631,nonce,train,nenna,yes,,,1.0,,,netda,no
916,neT-v,neTv,T-v,neTv,,,,,0.0,neT,v,neTv,565631,nonce,train,neTv,yes,,,,,0.0,netgv,no
917,nvlp-na,nvmna,lp-n,nvmna,0.0,1.0,1.0,0.0,,nvlp,na,nvmna,565631,high,train,,no,1.0,1.0,0.0,0.0,,nvlpna,no
918,nvlp-ta,nvpda,lp-t,nvpda,0.0,1.0,,,1.0,nvlp,ta,nvpda,565631,high,train,nvlda,no,1.0,0.0,,0.0,1.0,nvlda,no
919,nvlp-v,nvlpv,lp-v,nvlpv,0.0,0.0,,,0.0,nvlp,v,nvlpv,565631,high,train,nvlpv,yes,0.0,0.0,,0.0,0.0,nvlpv,yes
920,nuk-na,nuNna,k-n,nuNna,,,1.0,,,nuk,na,nuNna,565631,nonce,train,nuNna,yes,,,1.0,,,nukna,no
921,nuk-ta,nukda,k-t,nukda,,,,,1.0,nuk,ta,nukda,565631,nonce,train,nukda,yes,,,,,1.0,nukda,yes
922,nuk-v,nukv,k-v,nukv,,,,,0.0,nuk,v,nukv,565631,nonce,train,nukv,yes,,,,,0.0,nukv,yes
923,nxlk-ta,nxkda,lk-t,nxkda,0.0,1.0,,,1.0,nxlk,ta,nxkda,565631,high,train,,no,1.0,1.0,,0.0,0.0,nxlda,no
924,nxlk-na,nxNna,lk-n,nxNna,0.0,1.0,1.0,0.0,,nxlk,na,nxNna,565631,high,train,nxNna,yes,1.0,1.0,1.0,0.0,,nxNna,yes
925,nxlk-v,nxlkv,lk-v,nxlkv,0.0,0.0,,,0.0,nxlk,v,nxlkv,565631,high,train,nxlkv,yes,0.0,0.0,,0.0,0.0,nxlkv,yes
926,tvlp-v,tvlpv,lp-v,tvlpv,0.0,0.0,,,0.0,tvlp,v,tvlpv,565631,nonce,train,tvlpv,yes,0.0,0.0,,0.0,0.0,tvlpv,yes
927,tvlp-ta,tvpda,lp-t,tvpda,0.0,1.0,,,1.0,tvlp,ta,tvpda,565631,nonce,train,tvlpda,no,0.0,0.0,,0.0,1.0,tvlda,no
928,tvlp-na,tvmna,lp-n,tvmna,0.0,1.0,1.0,0.0,,tvlp,na,tvmna,565631,nonce,train,tvlmna,no,1.0,0.0,1.0,0.0,,tvlpna,no
929,tok-ta,tokda,k-t,tokda,,,,,1.0,tok,ta,tokda,565631,nonce,train,tokda,yes,,,,,1.0,tokda,yes
930,tok-a,toka,k-a,toka,,,,,0.0,tok,a,toka,565631,nonce,train,toka,yes,,,,,0.0,tokga,no
931,tok-na,toNna,k-n,toNna,,,1.0,,,tok,na,toNna,565631,nonce,train,toNna,yes,,,1.0,,,toNna,yes
932,tup-ta,tupda,p-t,tupda,,,,,1.0,tup,ta,tupda,565631,nonce,train,tupda,yes,,,,,1.0,tupda,yes
933,tup-na,tumna,p-n,tumna,,,1.0,,,tup,na,tumna,565631,nonce,train,tumna,yes,,,1.0,,,tupna,no
934,tup-v,tupv,p-v,tupv,,,,,0.0,tup,v,tupv,565631,nonce,train,tupv,yes,,,,,0.0,tupv,yes
935,txlk-v,txlkv,lk-v,txlkv,0.0,0.0,,,0.0,txlk,v,txlkv,565631,nonce,train,txlkv,yes,0.0,0.0,,0.0,0.0,txlkv,yes
936,txlk-ta,txkda,lk-t,txkda,0.0,1.0,,,1.0,txlk,ta,txkda,565631,nonce,train,txkda,yes,1.0,1.0,,0.0,1.0,txlkda,no
937,txlk-na,txNna,lk-n,txNna,0.0,1.0,1.0,0.0,,txlk,na,txNna,565631,nonce,train,txNna,yes,1.0,1.0,1.0,0.0,,txNna,yes
938,dvlp-ta,dvpda,lp-t,dvpda,0.0,1.0,,,1.0,dvlp,ta,dvpda,565631,low,train,dvlpda,no,0.0,0.0,,0.0,1.0,dvlda,no
939,dvlp-na,dvmna,lp-n,dvmna,0.0,1.0,1.0,0.0,,dvlp,na,dvmna,565631,low,train,dvlpna,no,0.0,0.0,0.0,0.0,,dvlpna,no
940,dvlp-v,dvlpv,lp-v,dvlpv,0.0,0.0,,,0.0,dvlp,v,dvlpv,565631,low,train,dvlpv,yes,0.0,0.0,,0.0,1.0,dvlpv,yes
941,mak-na,maNna,k-n,maNna,,,1.0,,,mak,na,maNna,565631,high,train,maNna,yes,,,1.0,,,maNna,yes
942,mak-ta,makda,k-t,makda,,,,,1.0,mak,ta,makda,565631,high,train,makda,yes,,,,,1.0,makda,yes
943,mak-a,maka,k-a,maka,,,,,0.0,mak,a,maka,565631,high,train,maka,yes,,,,,0.0,maka,yes
944,malk-na,maNna,lk-n,maNna,0.0,1.0,1.0,0.0,,malk,na,maNna,565631,high,train,malna,no,1.0,0.0,0.0,0.0,,malnka,no
945,malk-ta,makda,lk-t,makda,0.0,1.0,,,1.0,malk,ta,makda,565631,high,train,malkda,no,0.0,0.0,,0.0,1.0,malkda,no
946,malk-a,malka,lk-a,malka,0.0,0.0,,,0.0,malk,a,malka,565631,high,train,malka,yes,0.0,0.0,,0.0,0.0,malga,no
947,mvlk-v,mvlkv,lk-v,mvlkv,0.0,0.0,,,0.0,mvlk,v,mvlkv,565631,nonce,train,mvlkv,yes,0.0,0.0,,0.0,0.0,mvlkv,yes
948,mvlk-na,mvNna,lk-n,mvNna,0.0,1.0,1.0,0.0,,mvlk,na,mvNna,565631,nonce,train,mvNna,yes,1.0,1.0,1.0,0.0,,mvkna,no
949,mvlk-ta,mvkda,lk-t,mvkda,0.0,1.0,,,1.0,mvlk,ta,mvkda,565631,nonce,train,mvlda,no,1.0,0.0,,0.0,1.0,mvlkda,no
950,muk-v,mukv,k-v,mukv,,,,,0.0,muk,v,mukv,565631,low,train,mukv,yes,,,,,0.0,mukv,yes
951,muk-na,muNna,k-n,muNna,,,1.0,,,muk,na,muNna,565631,low,train,muNna,yes,,,1.0,,,mukna,no
952,muk-ta,mukda,k-t,mukda,,,,,1.0,muk,ta,mukda,565631,low,train,mukda,yes,,,,,1.0,mukda,yes
953,mulk-ta,mukda,lk-t,mukda,0.0,1.0,,,1.0,mulk,ta,mukda,565631,low,train,mulda,no,1.0,0.0,,0.0,1.0,mulkda,no
954,mulk-v,mulkv,lk-v,mulkv,0.0,0.0,,,0.0,mulk,v,mulkv,565631,low,train,mulkv,yes,0.0,0.0,,0.0,0.0,mulkv,yes
955,mulk-na,muNna,lk-n,muNna,0.0,1.0,1.0,0.0,,mulk,na,muNna,565631,low,train,muNna,yes,1.0,1.0,1.0,0.0,,mukna,no
956,pak-a,paka,k-a,paka,,,,,0.0,pak,a,paka,565631,high,train,paka,yes,,,,,0.0,paka,yes
957,pak-ta,pakda,k-t,pakda,,,,,1.0,pak,ta,pakda,565631,high,train,pakda,yes,,,,,1.0,pakda,yes
958,pak-na,paNna,k-n,paNna,,,1.0,,,pak,na,paNna,565631,high,train,paNna,yes,,,1.0,,,panka,no
959,palk-ta,pakda,lk-t,pakda,0.0,1.0,,,1.0,palk,ta,pakda,565631,high,train,palda,no,1.0,0.0,,0.0,1.0,palda,no
960,palk-na,paNna,lk-n,paNna,0.0,1.0,1.0,0.0,,palk,na,paNna,565631,high,train,paNna,yes,1.0,1.0,1.0,0.0,,palkna,no
961,palk-a,palka,lk-a,palka,0.0,0.0,,,0.0,palk,a,palka,565631,high,train,palka,yes,0.0,0.0,,0.0,0.0,palka,yes
962,palp-ta,papda,lp-t,papda,0.0,1.0,,,1.0,palp,ta,papda,565631,high,train,palpda,no,0.0,0.0,,0.0,1.0,palda,no
963,palp-a,palpa,lp-a,palpa,0.0,0.0,,,0.0,palp,a,palpa,565631,high,train,palpa,yes,0.0,0.0,,0.0,0.0,palpa,yes
964,palp-na,pamna,lp-n,pamna,0.0,1.0,1.0,0.0,,palp,na,pamna,565631,high,train,palmna,no,1.0,0.0,1.0,0.0,,palpna,no
965,peT-ta,petda,T-t,petda,,,,,1.0,peT,ta,petda,565631,low,train,petda,yes,,,,,1.0,petda,yes
966,peT-na,penna,T-n,penna,,,1.0,,,peT,na,penna,565631,low,train,penna,yes,,,1.0,,,petna,no
967,peT-v,peTv,T-v,peTv,,,,,0.0,peT,v,peTv,565631,low,train,peTv,yes,,,,,0.0,petdv,no
968,kvp-v,pvpv,p-v,pvpv,,,,,0.0,kvp,v,pvpv,565631,nonce,train,pvpv,yes,,,,,0.0,kvpv,no
969,kvp-na,pvmna,p-n,pvmna,,,1.0,,,kvp,na,pvmna,565631,nonce,train,pvmna,yes,,,1.0,,,kvpna,no
970,kvp-ta,pvpda,p-t,pvpda,,,,,1.0,kvp,ta,pvpda,565631,nonce,train,pvpda,yes,,,,,1.0,kvpda,no
971,pulk-v,pulkv,lk-v,pulkv,0.0,0.0,,,0.0,pulk,v,pulkv,565631,high,train,pulkv,yes,0.0,0.0,,0.0,0.0,pulkv,yes
972,pulk-ta,pukda,lk-t,pukda,0.0,1.0,,,1.0,pulk,ta,pukda,565631,high,train,pulda,no,1.0,0.0,,0.0,1.0,pulda,no
973,pulk-na,puNna,lk-n,puNna,0.0,1.0,1.0,0.0,,pulk,na,puNna,565631,high,train,pukna,no,1.0,1.0,0.0,0.0,,pulkna,no
974,pulT-ta,putda,lT-t,putda,0.0,1.0,,,1.0,pulT,ta,putda,565631,nonce,train,pulda,no,1.0,0.0,,0.0,1.0,pulda,no
975,pulT-na,punna,lT-n,punna,0.0,1.0,1.0,0.0,,pulT,na,punna,565631,nonce,train,pulna,no,1.0,0.0,0.0,0.0,,pulkna,no
976,pulT-v,puTv,lT-v,puTv,0.0,1.0,,,0.0,pulT,v,puTv,565631,nonce,train,pulTv,no,0.0,0.0,,0.0,0.0,pulkv,no
977,bop-a,bopa,p-a,bopa,,,,,0.0,bop,a,bopa,565631,high,train,bopa,yes,,,,,1.0,popapa,no
978,bop-ta,bopda,p-t,bopda,,,,,1.0,bop,ta,bopda,565631,high,train,bopda,yes,,,,,1.0,popda,no
979,bop-na,bomna,p-n,bomna,,,1.0,,,bop,na,bomna,565631,high,train,bomna,yes,,,1.0,,,popna,no
980,sok-na,soNna,k-n,soNna,,,1.0,,,sok,na,soNna,565631,low,train,soNna,yes,,,1.0,,,*soNa,no
981,sok-ta,sokda,k-t,sokda,,,,,1.0,sok,ta,sokda,565631,low,train,sokda,yes,,,,,1.0,sokda,yes
982,sok-a,soka,k-a,soka,,,,,0.0,sok,a,soka,565631,low,train,soka,yes,,,,,0.0,sokga,no
983,sulk-na,suNna,lk-n,suNna,0.0,1.0,1.0,0.0,,sulk,na,suNna,565631,nonce,train,suNna,yes,1.0,1.0,1.0,0.0,,*sumna,no
984,sulk-v,sulkv,lk-v,sulkv,0.0,0.0,,,0.0,sulk,v,sulkv,565631,nonce,train,sulkv,yes,0.0,0.0,,0.0,0.0,sulkv,yes
985,sulk-ta,sukda,lk-t,sukda,0.0,1.0,,,1.0,sulk,ta,sukda,565631,nonce,train,sulkda,no,0.0,0.0,,0.0,1.0,sulkda,no
986,sik-ta,sikda,k-t,sikda,,,,,1.0,sik,ta,sikda,565631,low,train,sikda,yes,,,,,1.0,sikda,yes
987,sik-na,sikna,k-n,sikna,,,0.0,,,sik,na,sikna,565631,low,train,siNna,no,,,1.0,,,sikna,yes
988,sik-v,sikv,k-v,sikv,,,,,0.0,sik,v,sikv,565631,low,train,sikv,yes,,,,,0.0,sikv,yes
989,Svk-na,SvNna,k-n,SvNna,,,1.0,,,Svk,na,SvNna,565631,high,train,SvNna,yes,,,1.0,,,*svkga,no
990,Svk-ta,Svkda,k-t,Svkda,,,,,1.0,Svk,ta,Svkda,565631,high,train,Svkda,yes,,,,,1.0,svkda,no
991,Svk-v,Svkv,k-v,Svkv,,,,,0.0,Svk,v,Svkv,565631,high,train,Svkv,yes,,,,,0.0,svkgv,no
992,Sip-na,Simna,p-n,Simna,,,1.0,,,Sip,na,Simna,565631,high,train,Simna,yes,,,1.0,,,*sipna,no
993,Sip-ta,Sipda,p-t,Sipda,,,,,1.0,Sip,ta,Sipda,565631,high,train,Sipda,yes,,,,,1.0,sipda,no
994,Sip-v,Sipv,p-v,Sipv,,,,,0.0,Sip,v,Sipv,565631,high,train,Sipv,yes,,,,,0.0,sipv,no
995,alk-na,aNna,lk-n,aNna,0.0,1.0,1.0,0.0,,alk,na,aNna,565631,nonce,train,alkna,no,,0.0,0.0,0.0,,alna,no
996,alk-a,alka,lk-a,alka,0.0,0.0,,,0.0,alk,a,alka,565631,nonce,train,alka,yes,,0.0,,0.0,0.0,alga,no
997,alk-ta,akda,lk-t,akda,0.0,1.0,,,1.0,alk,ta,akda,565631,nonce,train,alkda,no,,0.0,,0.0,1.0,alda,no
998,yalp-na,yamna,lp-n,yamna,0.0,1.0,1.0,0.0,,yalp,na,yamna,565631,low,train,yalmna,no,1.0,0.0,1.0,0.0,,yalpna,no
999,yalp-a,yalpa,lp-a,yalpa,0.0,0.0,,,0.0,yalp,a,yalpa,565631,low,train,yalpa,yes,0.0,0.0,,0.0,0.0,yalpa,yes
1000,yalp-ta,yapda,lp-t,yapda,0.0,1.0,,,1.0,yalp,ta,yapda,565631,low,train,yalpda,no,0.0,0.0,,0.0,1.0,yalda,no
1001,yaT-a,yaTa,T-a,yaTa,,,,,0.0,yaT,a,yaTa,565631,low,train,yaTa,yes,,,,,0.0,yatda,no
1002,yaT-na,yanna,T-n,yanna,,,1.0,,,yaT,na,yanna,565631,low,train,yanna,yes,,,1.0,,,yaNna,no
1003,yaT-ta,yatda,T-t,yatda,,,,,1.0,yaT,ta,yatda,565631,low,train,yatda,yes,,,,,1.0,yatda,yes
1004,vlk-v,vlkv,lk-v,vlkv,0.0,0.0,,,0.0,vlk,v,vlkv,565631,low,train,vlkv,yes,,0.0,,0.0,0.0,vlkv,yes
1005,vlk-ta,vkda,lk-t,vkda,0.0,1.0,,,1.0,vlk,ta,vkda,565631,low,train,vlkda,no,,0.0,,0.0,1.0,vlda,no
1006,vlk-na,vNna,lk-n,vNna,0.0,1.0,1.0,0.0,,vlk,na,vNna,565631,low,train,vNna,yes,,1.0,1.0,0.0,,vlkna,no
1007,vp-na,vmna,p-n,vmna,,,1.0,,,vp,na,vmna,565631,low,train,vmna,yes,,,1.0,,,vpan,no
1008,vp-ta,vpda,p-t,vpda,,,,,1.0,vp,ta,vpda,565631,low,train,vpda,yes,,,,,1.0,vpda,yes
1009,vp-v,vpv,p-v,vpv,,,,,0.0,vp,v,vpv,565631,low,train,vpv,yes,,,,,0.0,vpv,yes
1010,vP-na,vmna,P-n,vmna,,,1.0,,,vP,na,vmna,565631,low,train,vmna,yes,,,1.0,,,vpna,no
1011,vP-v,vPv,P-v,vPv,,,,,0.0,vP,v,vPv,565631,low,train,vPv,yes,,,,,0.0,vpv,no
1012,vP-ta,vpda,P-t,vpda,,,,,1.0,vP,ta,vpda,565631,low,train,vpda,yes,,,,,1.0,vpda,yes
1013,yvlp-na,jvmna,lp-n,jvmna,0.0,1.0,1.0,0.0,,yvlp,na,jvmna,565631,low,train,jvlpna,no,1.0,0.0,0.0,0.0,,yvlpna,no
1014,yvlp-v,jvlpv,lp-v,jvlpv,0.0,0.0,,,0.0,yvlp,v,jvlpv,565631,low,train,jvlpv,yes,1.0,0.0,,0.0,0.0,yvlpv,no
1015,yvlp-ta,jvpda,lp-t,jvpda,0.0,1.0,,,1.0,yvlp,ta,jvpda,565631,low,train,jvlpda,no,1.0,0.0,,0.0,1.0,yvlda,no
1016,yvT-ta,jvtda,T-t,jvtda,,,,,1.0,yvT,ta,jvtda,565631,low,train,jvtda,yes,,,,,1.0,yvtda,no
1017,yvT-na,jvnna,T-n,jvnna,,,1.0,,,yvT,na,jvnna,565631,low,train,jvnna,yes,,,1.0,,,yvtda,no
1018,yvT-v,jvTv,T-v,jvTv,,,,,0.0,yvT,v,jvTv,565631,low,train,jvTv,yes,,,,,0.0,yvtdv,no
1019,up-ta,upda,p-t,upda,,,,,1.0,up,ta,upda,565631,nonce,train,upda,yes,,,,,1.0,upda,yes
1020,up-v,upv,p-v,upv,,,,,0.0,up,v,upv,565631,nonce,train,upv,yes,,,,,0.0,upv,yes
1021,up-na,umna,p-n,umna,,,1.0,,,up,na,umna,565631,nonce,train,umna,yes,,,1.0,,,upna,no
1022,xlP-v,xlPv,lP-v,xlPv,0.0,0.0,,,0.0,xlP,v,xlPv,565631,low,train,xlPv,yes,,0.0,,0.0,0.0,xlpv,no
1023,xlP-na,xmna,lP-n,xmna,0.0,1.0,1.0,0.0,,xlP,na,xmna,565631,low,train,xPna,no,,1.0,0.0,0.0,,xNna,no
1024,xlP-ta,xpda,lP-t,xpda,0.0,1.0,,,1.0,xlP,ta,xpda,565631,low,train,xlPda,no,,0.0,,0.0,1.0,xlda,no
1025,ik-na,iNna,k-n,iNna,,,1.0,,,ik,na,iNna,565631,low,train,iNna,yes,,,1.0,,,ikna,no
1026,ik-v,ikv,k-v,ikv,,,,,0.0,ik,v,ikv,565631,low,train,ikv,yes,,,,,0.0,ikv,yes
1027,ik-ta,ikda,k-t,ikda,,,,,1.0,ik,ta,ikda,565631,low,train,ikda,yes,,,,,1.0,ikda,yes
1028,ilk-na,iNna,lk-n,iNna,0.0,1.0,1.0,0.0,,ilk,na,iNna,565631,high,train,iNna,yes,,1.0,1.0,0.0,,ilna,no
1029,ilk-v,ilkv,lk-v,ilkv,0.0,0.0,,,0.0,ilk,v,ilkv,565631,high,train,ilkv,yes,,0.0,,0.0,0.0,ilkv,yes
1030,ilk-ta,ikda,lk-t,ikda,0.0,1.0,,,1.0,ilk,ta,ikda,565631,high,train,ikda,yes,,1.0,,0.0,1.0,ilda,no
1031,ip-ta,ipda,p-t,ipda,,,,,1.0,ip,ta,ipda,565631,high,train,ipda,yes,,,,,1.0,ipda,yes
1032,ip-v,ipv,p-v,ipv,,,,,0.0,ip,v,ipv,565631,high,train,ipv,yes,,,,,0.0,ipv,yes
1033,ip-na,imna,p-n,imna,,,1.0,,,ip,na,imna,565631,high,train,imna,yes,,,1.0,,,ipna,no
1034,cak-a,caka,k-a,caka,,,,,0.0,cak,a,caka,565631,high,train,caka,yes,,,,,0.0,cakga,no
1035,cak-ta,cakda,k-t,cakda,,,,,1.0,cak,ta,cakda,565631,high,train,cakda,yes,,,,,1.0,cakda,yes
1036,cak-na,caNna,k-n,caNna,,,1.0,,,cak,na,caNna,565631,high,train,caNna,yes,,,1.0,,,cakna,no
1037,cvk-v,cvkv,k-v,cvkv,,,,,0.0,cvk,v,cvkv,565631,high,train,cvkv,yes,,,,,0.0,cvkv,yes
1038,cvk-ta,cvkda,k-t,cvkda,,,,,1.0,cvk,ta,cvkda,565631,high,train,cvkda,yes,,,,,1.0,cvkda,yes
1039,cvk-na,cvNna,k-n,cvNna,,,1.0,,,cvk,na,cvNna,565631,high,train,cvNna,yes,,,1.0,,,cvkna,no
1040,cvp-v,cvpv,p-v,cvpv,,,,,0.0,cvp,v,cvpv,565631,high,train,cvpv,yes,,,,,0.0,cvpv,yes
1041,cvp-ta,cvpda,p-t,cvpda,,,,,1.0,cvp,ta,cvpda,565631,high,train,cvpda,yes,,,,,1.0,cvpda,yes
1042,cvp-na,cvmna,p-n,cvmna,,,1.0,,,cvp,na,cvmna,565631,high,train,cvmna,yes,,,1.0,,,cvpna,no
1043,cik-na,ciNna,k-n,ciNna,,,1.0,,,cik,na,ciNna,565631,nonce,train,ciNna,yes,,,1.0,,,cikna,no
1044,cik-v,cikv,k-v,cikv,,,,,0.0,cik,v,cikv,565631,nonce,train,cikv,yes,,,,,0.0,cikv,yes
1045,cik-ta,cikda,k-t,cikda,,,,,1.0,cik,ta,cikda,565631,nonce,train,cikda,yes,,,,,1.0,cikda,yes
1046,cilk-v,cilkv,lk-v,cilkv,0.0,0.0,,,0.0,cilk,v,cilkv,565631,nonce,train,cilkv,yes,0.0,0.0,,0.0,0.0,cilkv,yes
1047,cilk-ta,cikda,lk-t,cikda,0.0,1.0,,,1.0,cilk,ta,cikda,565631,nonce,train,cilda,no,1.0,0.0,,0.0,1.0,cilda,no
1048,cilk-na,ciNna,lk-n,ciNna,0.0,1.0,1.0,0.0,,cilk,na,ciNna,565631,nonce,train,ciNna,yes,1.0,1.0,1.0,0.0,,cilkna,no
1049,cip-ta,cipda,p-t,cipda,,,,,1.0,cip,ta,cipda,565631,high,train,cipda,yes,,,,,1.0,cipda,yes
1050,cip-v,cipv,p-v,cipv,,,,,0.0,cip,v,cipv,565631,high,train,cipv,yes,,,,,0.0,cipv,yes
1051,cip-na,cimna,p-n,cimna,,,1.0,,,cip,na,cimna,565631,high,train,cimna,yes,,,1.0,,,cipna,no
1052,Jalp-a,Jalpa,lp-a,Jalpa,0.0,0.0,,,0.0,Jalp,a,Jalpa,565631,high,train,Jalpa,yes,0.0,0.0,,0.0,0.0,Jalpa,yes
1053,Jalp-ta,Japda,lp-t,Japda,0.0,1.0,,,1.0,Jalp,ta,Japda,565631,high,train,Jalpda,no,0.0,0.0,,0.0,1.0,Jalda,no
1054,Jalp-na,Jamna,lp-n,Jamna,0.0,1.0,1.0,0.0,,Jalp,na,Jamna,565631,high,train,Jalmna,no,1.0,0.0,1.0,0.0,,Jalpna,no
1055,Jik-v,Jikv,k-v,Jikv,,,,,0.0,Jik,v,Jikv,565631,low,train,Jikv,yes,,,,,0.0,Jikv,yes
1056,Jik-na,JiNna,k-n,JiNna,,,1.0,,,Jik,na,JiNna,565631,low,train,JiNna,yes,,,1.0,,,Jikna,no
1057,Jik-ta,Jikda,k-t,Jikda,,,,,1.0,Jik,ta,Jikda,565631,low,train,Jikda,yes,,,,,1.0,Jikda,yes
1058,Cak-na,CaNna,k-n,CaNna,,,1.0,,,Cak,na,CaNna,565631,nonce,train,CaNna,yes,,,1.0,,,Cakna,no
1059,Cak-ta,Cakda,k-t,Cakda,,,,,1.0,Cak,ta,Cakda,565631,nonce,train,Cakda,yes,,,,,1.0,Cakda,yes
1060,Cak-a,Caka,k-a,Caka,,,,,0.0,Cak,a,Caka,565631,nonce,train,Caka,yes,,,,,0.0,Caka,yes
1061,Top-a,Topa,p-a,Topa,,,,,0.0,Top,a,Topa,565631,nonce,train,Topa,yes,,,,,0.0,topa,no
1062,Top-na,Tomna,p-n,Tomna,,,1.0,,,Top,na,Tomna,565631,nonce,train,Tomna,yes,,,1.0,,,topna,no
1063,Top-ta,Topda,p-t,Topda,,,,,1.0,Top,ta,Topda,565631,nonce,train,Topda,yes,,,,,1.0,topda,no
1064,halT-ta,halda,lT-t,halda,1.0,0.0,,,1.0,halT,ta,halda,565631,low,train,halda,yes,1.0,0.0,,0.0,1.0,halda,yes
1065,halT-na,halna,lT-n,halna,1.0,0.0,0.0,0.0,,halT,na,halna,565631,low,train,halna,yes,1.0,0.0,0.0,0.0,,halpna,no
1066,halT-a,halTa,lT-a,halTa,0.0,0.0,,,0.0,halT,a,halTa,565631,low,train,halTa,yes,0.0,0.0,,0.0,0.0,halga,no
1067,hulT-ta,hutda,lT-t,hutda,0.0,1.0,,,1.0,hulT,ta,hutda,565631,low,train,hulda,no,1.0,0.0,,0.0,1.0,hulda,no
1068,hulT-v,hulTv,lT-v,hulTv,0.0,0.0,,,0.0,hulT,v,hulTv,565631,low,train,hulTv,yes,0.0,0.0,,0.0,0.0,hulkv,no
